system_id,catalog_name,planet_idx,spectral_type,stellar_mass,mass_earth,radius_earth,sma_au,ecc,inc_deg,eq_temp_k,class,type
0,NE-6027,0,M6,0.1510,0.0792,0.5261,0.0420,0.0072,2.09,458,Rocky,Sub-Earth
0,NE-6027,1,M6,0.1510,2.4386,1.8386,0.0790,0.0831,2.08,334,Transitional,Mini-Neptune
0,NE-6027,2,M6,0.1510,0.4416,0.8432,0.2050,0.0601,0.96,207,Rocky,Sub-Earth
1,GS-9905,0,M2,0.3362,3.2500,1.6558,0.0041,0.0134,1.69,2328,Transitional,Water World
1,GS-9905,1,M2,0.3362,0.0297,0.3980,0.0079,0.0078,1.33,1671,Rocky,Sub-Earth
1,GS-9905,2,M2,0.3362,0.5998,0.8977,0.0194,0.0071,0.63,1066,Rocky,Desert
1,GS-9905,3,M2,0.3362,0.1872,0.6725,0.0423,0.0073,3.16,722,Rocky,Sub-Earth
1,GS-9905,4,M2,0.3362,0.0183,0.3153,0.0864,0.0350,1.42,505,Rocky,Sub-Earth
1,GS-9905,5,M2,0.3362,0.0297,0.4036,0.2644,0.0996,0.69,289,Rocky,Sub-Earth
1,GS-9905,6,M2,0.3362,0.1019,0.5657,0.5429,0.0837,0.80,202,Rocky,Sub-Earth
1,GS-9905,7,M2,0.3362,14.8493,2.8605,6.4070,0.2130,2.10,59,Volatile,Ice Giant
2,AR-4619,0,M3,0.2685,0.1377,0.6099,0.0051,0.0067,1.36,1834,Rocky,Sub-Earth
2,AR-4619,1,M3,0.2685,0.0303,0.4170,0.0123,0.0124,2.88,1178,Rocky,Sub-Earth
2,AR-4619,2,M3,0.2685,1.1025,0.9490,0.0690,0.0503,1.73,497,Rocky,Desert
2,AR-4619,3,M3,0.2685,4.2661,1.8661,0.3844,0.1497,1.55,211,Transitional,Mini-Neptune
3,OC-4241,0,M7,0.1199,0.4753,0.7596,0.0014,0.0085,0.94,2158,Rocky,Sub-Earth
3,OC-4241,1,M7,0.1199,0.1502,0.5376,0.0050,0.0117,0.41,1162,Rocky,Sub-Earth
3,OC-4241,2,M7,0.1199,0.1427,0.6112,0.0223,0.0083,0.41,550,Rocky,Sub-Earth
3,OC-4241,3,M7,0.1199,0.0401,0.3995,0.0930,0.0589,1.37,269,Rocky,Sub-Earth
4,AI-3416,0,M5,0.1698,3.4237,1.7489,0.0029,0.0158,2.37,1847,Transitional,Super-Terran
4,AI-3416,1,M5,0.1698,3.5690,1.6372,0.0079,0.0164,1.62,1126,Transitional,Super-Terran
